文件名称,cplex求解结果,文献最优解,文献最优解状态,cplexGap,cplex耗时,cplex状态,
OR30x250-0.75_10.dat,149595,149668,Feasible,0.0023892204096732576,100,Feasible,
OR30x500-0.25_1.dat,115838,116056,Feasible,0.006145489289526997,100,Feasible,
OR30x500-0.25_2.dat,114684,114810,Feasible,0.00539192794674868,100,Feasible,
OR30x500-0.25_3.dat,116661,116741,Feasible,0.005314068758199978,100,Feasible,
OR30x500-0.25_4.dat,115132,115354,Feasible,0.006599183536952367,100,Feasible,
OR30x500-0.25_5.dat,116414,116525,Feasible,0.005408903689690186,100,Feasible,
OR30x500-0.25_6.dat,115586,115741,Feasible,0.006244114213701932,100,Feasible,
OR30x500-0.25_7.dat,113909,114181,Feasible,0.006475196448061469,100,Feasible,
OR30x500-0.25_8.dat,114172,114403,Feasible,0.005537886278296083,100,Feasible,
OR30x500-0.25_9.dat,115231,115419,Feasible,0.00537909368992823,100,Feasible,
OR30x500-0.25_10.dat,116909,117116,Feasible,0.0060166849137473595,100,Feasible,
OR30x500-0.50_1.dat,218033,218104,Feasible,0.0023319074917401775,100,Feasible,
OR30x500-0.50_2.dat,214621,214648,Feasible,0.0018953537247366592,100,Feasible,
OR30x500-0.50_3.dat,215844,215978,Feasible,0.002392928887142636,100,Feasible,
OR30x500-0.50_4.dat,217778,217910,Feasible,0.0023841900521707894,100,Feasible,
OR30x500-0.50_5.dat,215547,215689,Feasible,0.002341316345048595,100,Feasible,
OR30x500-0.50_6.dat,215760,215919,Feasible,0.0024899635125592654,100,Feasible,
OR30x500-0.50_7.dat,215766,215907,Feasible,0.0025000825019813825,100,Feasible,
OR30x500-0.50_8.dat,216419,216542,Feasible,0.002486444429582817,100,Feasible,
OR30x500-0.50_9.dat,217203,217340,Feasible,0.0026565649090573144,100,Feasible,
OR30x500-0.50_10.dat,214588,214739,Feasible,0.0026848815300102723,100,Feasible,
OR30x500-0.75_1.dat,301643,301675,Feasible,0.0011746287157292116,100,Feasible,
OR30x500-0.75_2.dat,299985,300055,Feasible,0.0014135972025919256,100,Feasible,
OR30x500-0.75_3.dat,305028,305087,Feasible,0.0013421153098858738,100,Feasible,
OR30x500-0.75_4.dat,301938,302032,Feasible,0.0015520246402452556,100,Feasible,
OR30x500-0.75_5.dat,304412,304462,Feasible,0.001395524742853509,100,Feasible,
OR30x500-0.75_6.dat,296891,297012,Feasible,0.0015743410387640026,100,Feasible,
OR30x500-0.75_7.dat,303216,303364,Feasible,0.0016681010522342865,100,Feasible,
OR30x500-0.75_8.dat,306892,307007,Feasible,0.0015096808643224639,100,Feasible,
OR30x500-0.75_9.dat,303162,303199,Feasible,0.0012704581049298347,100,Feasible,
OR30x500-0.75_10.dat,300485,300572,Feasible,0.0015900744336294684,100,Feasible,
