文件名称,算法名称,修复算子,文献最优解,文献最优解状态,算法最优解,gap,迭代次数,耗时,第k次实验
OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,20907,0.00362198,1000,4,3
OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,20907,0.00362198,1000,7,6
OR30x100-0.25_10.dat,BFA,RO3,20983,Optimal,20983,0,97,11,1
OR30x100-0.25_10.dat,BFA,RO3,20983,Optimal,20983,0,175,19,4
OR30x100-0.25_10.dat,BFA,RO3,20983,Optimal,20867,0.005528285,1000,26,7
OR30x100-0.25_10.dat,BFA,RO3,20983,Optimal,20983,0,442,26,5
OR30x100-0.25_10.dat,BFA,RO3,20983,Optimal,20983,0,418,34,3
OR30x100-0.25_10.dat,BFA,RO3,20983,Optimal,20867,0.005528285,1000,40,0
OR30x100-0.25_10.dat,BFA,RO3,20983,Optimal,20850,0.006338464,1000,42,6
OR30x100-0.25_10.dat,BFA,RO3,20983,Optimal,20944,0.001858647,1000,49,2
OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,20764,0.01043702,1000,1,3
OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,20793,0.009054949,1000,1,0
OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,20815,0.008006481,1000,2,6
OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,20785,0.00943621,1000,3,1
OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,20730,0.01205738,1000,3,2
OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,20907,0.00362198,1000,4,5
OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,20779,0.009722156,1000,4,7
OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,20815,0.008006481,1000,7,4
OR30x100-0.25_10.dat,BFA,RO4,20983,Optimal,20699,0.013534766,1000,1,6
OR30x100-0.25_10.dat,BFA,RO4,20983,Optimal,20764,0.01043702,1000,1,3
OR30x100-0.25_10.dat,BFA,RO4,20983,Optimal,20730,0.01205738,1000,1,0
OR30x100-0.25_10.dat,BFA,RO4,20983,Optimal,20907,0.00362198,1000,0,1
OR30x100-0.25_10.dat,BFA,RO4,20983,Optimal,20782,0.009579183,1000,0,7
OR30x100-0.25_10.dat,BFA,RO4,20983,Optimal,20793,0.009054949,1000,0,4
OR30x100-0.25_10.dat,BFA,RO4,20983,Optimal,20728,0.012152695,1000,1,5
OR30x100-0.25_10.dat,BFA,RO4,20983,Optimal,20768,0.01024639,1000,1,2
OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,105209,0.005397996,2500,237,1
OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,105074,0.00667423,2500,264,7
OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,105154,0.005917943,2500,264,4
OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,105344,0.004121762,2500,282,2
OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,105277,0.004755152,2500,288,3
OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,105297,0.004566081,2500,294,0
OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,105358,0.003989412,2500,296,6
OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,105218,0.005312914,2500,297,5
OR30x250-0.50_10.dat,BFA,RO3,105780,Feasible,105230,0.005199471,2500,628,3
OR30x250-0.50_10.dat,BFA,RO3,105780,Feasible,105131,0.006135375,2500,644,0
OR30x250-0.50_10.dat,BFA,RO3,105780,Feasible,105502,0.002628096,2500,650,1
OR30x250-0.50_10.dat,BFA,RO3,105780,Feasible,105442,0.003195311,2500,681,2
OR30x250-0.50_10.dat,BFA,RO3,105780,Feasible,105344,0.004121762,2500,683,5
OR30x250-0.50_10.dat,BFA,RO3,105780,Feasible,105257,0.004944224,2500,683,6
OR30x250-0.50_10.dat,BFA,RO3,105780,Feasible,105258,0.00493477,2500,688,7
OR30x250-0.50_10.dat,BFA,RO3,105780,Feasible,105213,0.005360182,2500,689,4
OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,105368,0.003894876,2500,49,1
OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,105303,0.004509359,2500,64,0
OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,105393,0.003658537,2500,66,4
OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,104979,0.00757232,2500,68,7
OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,105166,0.0058045,2500,69,2
OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,105091,0.006513519,2500,70,5
OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,105532,0.002344489,2500,70,3
OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,105145,0.006003025,2500,74,6
OR30x250-0.50_10.dat,BFA,RO4,105780,Feasible,105056,0.006844394,2500,29,1
OR30x250-0.50_10.dat,BFA,RO4,105780,Feasible,105532,0.002344489,2500,32,7
OR30x250-0.50_10.dat,BFA,RO4,105780,Feasible,105259,0.004925317,2500,33,0
OR30x250-0.50_10.dat,BFA,RO4,105780,Feasible,105285,0.004679524,2500,34,4
OR30x250-0.50_10.dat,BFA,RO4,105780,Feasible,105141,0.006040839,2500,36,3
OR30x250-0.50_10.dat,BFA,RO4,105780,Feasible,105367,0.00390433,2500,37,5
OR30x250-0.50_10.dat,BFA,RO4,105780,Feasible,105354,0.004027226,2500,38,2
OR30x250-0.50_10.dat,BFA,RO4,105780,Feasible,105301,0.004528266,2500,39,6
OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,299450,0.003732883,5000,814,3
OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,299604,0.003220526,5000,838,7
OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,299876,0.002315585,5000,947,1
OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,299776,0.002648284,5000,957,6
OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,299585,0.003283739,5000,960,4
OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,299599,0.003237161,5000,972,0
OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,299657,0.003044196,5000,976,2
OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,299573,0.003323663,5000,994,5
OR30x500-0.75_10.dat,BFA,RO3,300572,Feasible,299490,0.003599803,5000,1603,7
OR30x500-0.75_10.dat,BFA,RO3,300572,Feasible,299575,0.003317009,5000,1607,0
OR30x500-0.75_10.dat,BFA,RO3,300572,Feasible,299718,0.002841249,5000,1651,4
OR30x500-0.75_10.dat,BFA,RO3,300572,Feasible,299502,0.003559879,5000,1691,3
OR30x500-0.75_10.dat,BFA,RO3,300572,Feasible,299872,0.002328893,5000,1707,6
OR30x500-0.75_10.dat,BFA,RO3,300572,Feasible,299802,0.002561782,5000,1793,2
OR30x500-0.75_10.dat,BFA,RO3,300572,Feasible,299682,0.002961021,5000,1817,5
OR30x500-0.75_10.dat,BFA,RO3,300572,Feasible,299572,0.00332699,5000,1817,1
OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,299573,0.003323663,5000,546,0
OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,299649,0.003070812,5000,549,6
OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,299961,0.002032791,5000,559,5
OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,299843,0.002425376,5000,568,2
OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,299783,0.002624995,5000,575,4
OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,300011,0.001866441,5000,578,1
OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,299841,0.00243203,5000,580,7
OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,299922,0.002162543,5000,589,3
OR30x500-0.75_10.dat,BFA,RO4,300572,Feasible,299779,0.002638303,5000,274,5
OR30x500-0.75_10.dat,BFA,RO4,300572,Feasible,299636,0.003114063,5000,278,2
OR30x500-0.75_10.dat,BFA,RO4,300572,Feasible,299967,0.002012829,5000,283,4
OR30x500-0.75_10.dat,BFA,RO4,300572,Feasible,299543,0.003423473,5000,285,6
OR30x500-0.75_10.dat,BFA,RO4,300572,Feasible,299734,0.002788018,5000,287,0
OR30x500-0.75_10.dat,BFA,RO4,300572,Feasible,299548,0.003406838,5000,290,7
OR30x500-0.75_10.dat,BFA,RO4,300572,Feasible,299772,0.002661592,5000,294,3
OR30x500-0.75_10.dat,BFA,RO4,300572,Feasible,299706,0.002881173,5000,300,1
